"id","ap","cm","du","em","el","im","np","ne","nb","pa","pe","pp","pr","qm","sl","sr","sw","tt","wc","we","yu","mf"
"1566802140287207","2","0","0","2","0","1","0","0","0","0","0","2","2","0","2","1","4","0.06666667","16","0","1","1.0666667"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0.0","8","0","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0.0","8","0","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0.0","6","0","0","1.0"
"1566802140287207","12","2","0","4","0","0","1","0","0","0","0","4","2","0","7","4","2","0.23529412","21","4","0","1.2352941"
"1566802140287207","6","0","0","0","0","0","0","0","1","0","1","1","3","0","8","1","3","0.071428575","15","1","0","1.0714285"
"1566802140287207","8","0","0","3","0","0","0","0","1","0","0","2","0","0","5","1","0","0.0","11","1","0","1.0"
"1566802140287207","6","1","0","0","0","0","0","0","1","0","0","1","3","0","7","1","5","0.0","22","1","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0.0","2","0","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0.0","2","0","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0.0","3","0","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0.0","2","0","0","1.0"
"1566802140287207","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0.0","4","0","0","1.0"
